Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-08-31T08:51:35.756Z","Usage-based","claude-4-sonnet","No","151272","1630","593231","1505","747638","0.77"
"2025-08-31T08:45:22.400Z","Usage-based","claude-4-sonnet","No","561","62","143219","78","143920","0.05"
"2025-08-31T08:42:22.919Z","Usage-based","claude-4-sonnet","No","128966","66","433641","1569","564242","0.64"
"2025-08-31T08:37:06.775Z","Usage-based","claude-4-sonnet","No","123987","586","983269","4486","1112328","0.83"
"2025-08-31T08:32:14.740Z","Usage-based","claude-4-sonnet","No","89377","92105","1054293","21735","1257510","0.86"
"2025-08-31T08:28:32.316Z","Usage-based","claude-4-sonnet","No","10014","53","1823577","5655","1839299","0.67"
"2025-08-31T08:26:39.890Z","Usage-based","claude-4-sonnet","No","2794","143","729240","1349","733526","0.25"
"2025-08-31T08:18:51.282Z","Errored, Not Charged","claude-4-sonnet","No","8765","144","892341","752","902002","Included"
"2025-08-31T08:16:20.194Z","Errored, Not Charged","claude-4-sonnet","No","0","0","0","0","0","Included"
"2025-08-31T08:04:02.052Z","Usage-based","claude-4-sonnet","No","144281","396","953034","8654","1106365","0.96"
"2025-08-31T07:37:37.896Z","Usage-based","claude-4-sonnet","No","126120","121","486030","11248","623519","0.79"
"2025-08-31T07:29:29.079Z","Usage-based","claude-4-sonnet","No","16666","141","738088","7300","762195","0.39"
"2025-08-31T07:27:40.940Z","Usage-based","claude-4-sonnet","No","4393","127","859551","1987","866058","0.30"
"2025-08-31T07:24:21.431Z","Errored, Not Charged","claude-4-sonnet","No","12786","127","1549493","7208","1569614","Included"
"2025-08-31T07:22:29.820Z","Usage-based","claude-4-sonnet","No","79829","127","463239","3112","546307","0.49"
"2025-08-31T04:35:47.336Z","Usage-based","claude-4-sonnet","No","73358","93629","409379","13156","589522","0.49"
"2025-08-31T04:29:13.876Z","Usage-based","claude-4-sonnet","No","31118","150","3620162","19519","3670949","1.50"
"2025-08-31T04:25:29.320Z","Usage-based","claude-4-sonnet","No","20093","140","246140","1746","268119","0.18"
"2025-08-31T04:22:55.466Z","Usage-based","claude-4-sonnet","No","129240","162","472844","2524","604770","0.66"
"2025-08-31T04:04:38.439Z","Usage-based","claude-4-sonnet","No","104709","296","1376451","20239","1501695","1.11"
"2025-08-31T03:48:29.881Z","Usage-based","claude-4-sonnet","No","50272","94103","1555908","20544","1720827","0.88"
"2025-08-31T03:47:19.496Z","Usage-based","claude-4-sonnet","No","9491","127","474426","2248","486292","0.21"
"2025-08-31T03:46:17.931Z","Usage-based","claude-4-sonnet","No","155934","127","155094","1289","312444","0.65"
"2025-08-31T03:10:45.160Z","Usage-based","claude-4-sonnet","No","153898","155","1333021","10289","1497363","1.13"
"2025-08-30T23:13:35.337Z","Usage-based","claude-4-sonnet","No","6156","275","271230","1719","279380","0.13"
"2025-08-30T23:10:53.090Z","Usage-based","claude-4-sonnet","No","10075","227","515427","1899","527628","0.22"
"2025-08-30T23:03:59.080Z","Usage-based","claude-4-sonnet","No","12062","56","1428930","10442","1451490","0.63"
"2025-08-30T22:59:14.407Z","Usage-based","claude-4-sonnet","No","112838","89","1340162","17668","1470757","1.09"
"2025-08-30T02:12:54.267Z","Usage-based","claude-4-sonnet","No","90946","23","83499","950","175418","0.38"
"2025-08-30T01:44:43.105Z","Usage-based","claude-4-sonnet","No","22283","32","440431","2781","465527","0.26"
"2025-08-30T01:43:32.268Z","Usage-based","claude-4-sonnet","No","60258","179","289482","1549","351468","0.34"
"2025-08-30T00:44:30.319Z","Usage-based","claude-4-sonnet","No","81","36","53371","747","54235","0.03"
"2025-08-30T00:32:22.390Z","Errored, Not Charged","claude-4-sonnet","No","35031","98405","188596","8448","330480","Included"
"2025-08-30T00:29:38.161Z","Errored, Not Charged","claude-4-sonnet","No","9726","141","1100424","7640","1117931","Included"
"2025-08-30T00:28:40.156Z","Usage-based","claude-4-sonnet","No","5528","140","297624","581","303873","0.12"
"2025-08-30T00:26:25.705Z","Usage-based","claude-4-sonnet","No","4701","111","287719","817","293348","0.12"
